Source,Target,Weight,Type
S0001,S0006,2,Undirected
S0001,S0008,3,Undirected
S0001,S0009,1,Undirected
S0001,S0014,2,Undirected
S0001,S0015,4,Undirected
S0001,S0016,1,Undirected
S0001,S0018,3,Undirected
S0001,S0023,2,Undirected
S0001,S0025,2,Undirected
S0001,S0027,2,Undirected
S0001,S0029,1,Undirected
S0001,S0031,2,Undirected
S0001,S0032,1,Undirected
S0001,S0033,2,Undirected
S0001,S0034,1,Undirected
S0001,S0035,3,Undirected
S0001,S0036,2,Undirected
S0001,S0042,2,Undirected
S0001,S0047,2,Undirected
S0002,S0003,3,Undirected
S0002,S0005,2,Undirected
S0002,S0007,1,Undirected
S0002,S0008,3,Undirected
S0002,S0009,1,Undirected
S0002,S0011,4,Undirected
S0002,S0012,1,Undirected
S0002,S0013,1,Undirected
S0002,S0014,2,Undirected
S0002,S0015,1,Undirected
S0002,S0016,1,Undirected
S0002,S0017,1,Undirected
S0002,S0018,3,Undirected
S0002,S0019,1,Undirected
S0002,S0020,1,Undirected
S0002,S0021,3,Undirected
S0002,S0023,1,Undirected
S0002,S0024,2,Undirected
S0002,S0025,2,Undirected
S0002,S0026,6,Undirected
S0002,S0027,1,Undirected
S0002,S0028,2,Undirected
S0002,S0029,2,Undirected
S0002,S0030,3,Undirected
S0002,S0031,2,Undirected
S0002,S0032,2,Undirected
S0002,S0033,1,Undirected
S0002,S0034,1,Undirected
S0002,S0035,3,Undirected
S0002,S0036,2,Undirected
S0002,S0037,1,Undirected
S0002,S0038,1,Undirected
S0002,S0039,3,Undirected
S0002,S0040,3,Undirected
S0002,S0041,1,Undirected
S0002,S0043,2,Undirected
S0002,S0044,2,Undirected
S0002,S0045,1,Undirected
S0002,S0046,2,Undirected
S0002,S0048,3,Undirected
S0002,S0049,1,Undirected
S0002,S0050,1,Undirected
S0003,S0004,2,Undirected
S0003,S0005,3,Undirected
S0003,S0006,2,Undirected
S0003,S0007,2,Undirected
S0003,S0008,3,Undirected
S0003,S0011,5,Undirected
S0003,S0013,1,Undirected
S0003,S0014,3,Undirected
S0003,S0016,1,Undirected
S0003,S0017,2,Undirected
S0003,S0018,3,Undirected
S0003,S0020,2,Undirected
S0003,S0021,1,Undirected
S0003,S0022,1,Undirected
S0003,S0023,4,Undirected
S0003,S0024,3,Undirected
S0003,S0026,2,Undirected
S0003,S0027,1,Undirected
S0003,S0029,1,Undirected
S0003,S0030,3,Undirected
S0003,S0031,1,Undirected
S0003,S0032,2,Undirected
S0003,S0033,2,Undirected
S0003,S0035,1,Undirected
S0003,S0036,2,Undirected
S0003,S0037,1,Undirected
S0003,S0038,1,Undirected
S0003,S0039,3,Undirected
S0003,S0040,3,Undirected
S0003,S0043,1,Undirected
S0003,S0044,3,Undirected
S0003,S0045,2,Undirected
S0003,S0046,1,Undirected
S0003,S0048,3,Undirected
S0004,S0005,2,Undirected
S0004,S0006,3,Undirected
S0004,S0007,2,Undirected
S0004,S0009,1,Undirected
S0004,S0010,1,Undirected
S0004,S0011,2,Undirected
S0004,S0013,1,Undirected
S0004,S0016,1,Undirected
S0004,S0017,5,Undirected
S0004,S0018,1,Undirected
S0004,S0020,2,Undirected
S0004,S0021,1,Undirected
S0004,S0022,3,Undirected
S0004,S0023,2,Undirected
S0004,S0024,5,Undirected
S0004,S0025,4,Undirected
S0004,S0027,2,Undirected
S0004,S0028,1,Undirected
S0004,S0029,1,Undirected
S0004,S0031,3,Undirected
S0004,S0033,3,Undirected
S0004,S0034,1,Undirected
S0004,S0035,3,Undirected
S0004,S0037,3,Undirected
S0004,S0038,3,Undirected
S0004,S0039,1,Undirected
S0004,S0041,2,Undirected
S0004,S0044,1,Undirected
S0004,S0046,1,Undirected
S0004,S0048,5,Undirected
S0004,S0049,3,Undirected
S0004,S0050,3,Undirected
S0005,S0006,2,Undirected
S0005,S0007,3,Undirected
S0005,S0008,1,Undirected
S0005,S0009,1,Undirected
S0005,S0010,1,Undirected
S0005,S0011,6,Undirected
S0005,S0012,1,Undirected
S0005,S0013,2,Undirected
S0005,S0015,2,Undirected
S0005,S0016,2,Undirected
S0005,S0017,1,Undirected
S0005,S0018,1,Undirected
S0005,S0019,2,Undirected
S0005,S0020,2,Undirected
S0005,S0021,3,Undirected
S0005,S0022,2,Undirected
S0005,S0023,2,Undirected
S0005,S0024,2,Undirected
S0005,S0026,4,Undirected
S0005,S0027,2,Undirected
S0005,S0029,1,Undirected
S0005,S0030,1,Undirected
S0005,S0031,2,Undirected
S0005,S0032,1,Undirected
S0005,S0033,4,Undirected
S0005,S0034,2,Undirected
S0005,S0035,2,Undirected
S0005,S0036,1,Undirected
S0005,S0037,2,Undirected
S0005,S0038,2,Undirected
S0005,S0039,1,Undirected
S0005,S0040,1,Undirected
S0005,S0041,1,Undirected
S0005,S0043,1,Undirected
S0005,S0044,1,Undirected
S0005,S0045,2,Undirected
S0005,S0046,2,Undirected
S0005,S0047,1,Undirected
S0005,S0048,5,Undirected
S0006,S0007,1,Undirected
S0006,S0008,3,Undirected
S0006,S0011,3,Undirected
S0006,S0012,1,Undirected
S0006,S0013,1,Undirected
S0006,S0014,1,Undirected
S0006,S0015,2,Undirected
S0006,S0016,2,Undirected
S0006,S0017,1,Undirected
S0006,S0018,3,Undirected
S0006,S0020,2,Undirected
S0006,S0021,1,Undirected
S0006,S0022,2,Undirected
S0006,S0023,2,Undirected
S0006,S0024,2,Undirected
S0006,S0025,1,Undirected
S0006,S0027,3,Undirected
S0006,S0028,1,Undirected
S0006,S0029,1,Undirected
S0006,S0031,3,Undirected
S0006,S0032,1,Undirected
S0006,S0033,3,Undirected
S0006,S0034,1,Undirected
S0006,S0035,1,Undirected
S0006,S0036,1,Undirected
S0006,S0037,2,Undirected
S0006,S0038,3,Undirected
S0006,S0039,2,Undirected
S0006,S0041,1,Undirected
S0006,S0042,1,Undirected
S0006,S0044,1,Undirected
S0006,S0045,1,Undirected
S0006,S0047,1,Undirected
S0006,S0048,2,Undirected
S0007,S0008,2,Undirected
S0007,S0009,3,Undirected
S0007,S0010,2,Undirected
S0007,S0011,2,Undirected
S0007,S0012,4,Undirected
S0007,S0013,2,Undirected
S0007,S0014,1,Undirected
S0007,S0015,1,Undirected
S0007,S0016,2,Undirected
S0007,S0017,1,Undirected
S0007,S0018,4,Undirected
S0007,S0019,3,Undirected
S0007,S0020,2,Undirected
S0007,S0021,1,Undirected
S0007,S0022,2,Undirected
S0007,S0023,2,Undirected
S0007,S0024,2,Undirected
S0007,S0025,2,Undirected
S0007,S0026,4,Undirected
S0007,S0027,1,Undirected
S0007,S0028,3,Undirected
S0007,S0029,1,Undirected
S0007,S0030,1,Undirected
