studentId,louvainCommunity,spectralCommunity,pageRank,betweenness,shannonEntropy,persistentLouvainId
S0001,0,2,0.0023199196392164,0.0018521351984214,1.5,2
S0002,1,0,0.0029907397105832,0.0030833658642849,2.0,1
S0003,2,0,0.0043725916337794,0.0021101132489751,2.584962500721156,0
S0004,3,3,0.0035731948208307,0.0027542080492491,2.321928094887362,3
S0005,0,3,0.0043991697886609,0.0023174321364048,2.521640636343319,2
S0006,2,0,0.0037397604924699,0.0016167750234351,2.251629167387823,0
S0007,0,2,0.0012846936588815,0.0006075339474733,0.0,2
S0008,4,4,0.0029259186829989,0.0010623718338621,2.0,4
S0009,1,1,0.0024258089316498,0.0024035102814087,1.584962500721156,1
S0010,3,3,0.0025290166643684,0.002333240402218,1.5,3
S0011,3,3,0.0024938704788175,0.0021662635344088,1.584962500721156,3
S0012,4,0,0.0010918367188747,0.0002579990973426,0.0,4
S0013,2,0,0.0047488977148529,0.0019123944572351,2.9477027792200907,0
S0014,1,1,0.002426585313245,0.0016029268404017,1.584962500721156,1
S0015,3,3,0.0053156410399118,0.0026125048183348,2.9477027792200907,3
S0016,4,4,0.0017099653592121,0.0012393573155524,1.0,4
S0017,1,0,0.0025123750818031,0.0009478010008394,1.584962500721156,1
S0018,0,2,0.0030116952308467,0.0030316545770326,1.9219280948873625,2
S0019,0,2,0.001126802629338,0.0004017407306626,0.0,2
S0020,2,2,0.0027340733307504,0.0015575681078857,2.0,0
S0021,1,1,0.0043392396266292,0.004775578982184,2.584962500721156,1
S0022,2,0,0.0062882523060506,0.0037876978443401,3.2516291673878235,0
S0023,0,2,0.0057898194134786,0.0028174747251655,3.121928094887363,2
S0024,3,1,0.0036117817187594,0.0029968538897878,2.321928094887362,3
S0025,3,3,0.0059180602719396,0.003218240169777,3.1699250014423126,3
S0026,0,1,0.0051758836575224,0.0036223878708771,3.0,2
S0027,3,3,0.0043981275443427,0.002159879718246,2.521640636343319,3
S0028,4,4,0.0054815338317798,0.0030296893484472,2.9477027792200907,4
S0029,1,0,0.0050126829476125,0.0017748662499628,2.807354922057605,1
S0030,0,2,0.0059827166334312,0.0027723615681996,3.121928094887363,2
S0031,4,4,0.0029285510933393,0.0024355904905921,2.0,4
S0032,4,4,0.0044910885926853,0.0034853576935455,2.75,4
S0033,1,0,0.0041653890696641,0.0044527569475064,2.521640636343319,1
S0034,3,3,0.0029985346046445,0.0018117763212209,1.9219280948873625,3
S0035,2,0,0.002973479200017,0.0029417078850095,2.0,0
S0036,0,2,0.0033151124374897,0.0022759361525434,2.321928094887362,2
S0037,0,2,0.003745846806461,0.0013425046963516,2.5,2
S0038,3,3,0.0024624965304571,0.0026730203350607,1.584962500721156,3
S0039,4,4,0.0012005324911067,0.0003960819978986,0.0,4
S0040,4,0,0.005510696057282,0.0028730889835312,3.121928094887363,4
S0041,1,1,0.0051593757207852,0.0038671769566971,3.0,1
S0042,4,4,0.0026800195175544,0.0011675532396001,2.0,4
S0043,0,2,0.0041448164095169,0.0022448421379508,2.584962500721156,2
S0044,0,2,0.0039985989818187,0.0032972448247005,2.584962500721156,2
S0045,1,0,0.0025115220369969,0.0009857246208349,1.5,1
S0046,3,3,0.0038677137290354,0.0035141254182584,2.321928094887362,3
S0047,4,4,0.0030023737407844,0.0021031288335147,1.9219280948873625,4
S0048,1,1,0.0040845287025482,0.0022422033931212,2.5,1
S0049,2,0,0.001902980596161,0.0007393009764001,1.0,0
S0050,0,2,0.0021496367397305,0.0016797485686905,1.584962500721156,2
S0051,0,3,0.0044073782684966,0.0034233362833848,2.521640636343319,2
S0052,3,3,0.0019430063897826,0.0010230466028918,1.0,3
S0053,1,1,0.0022729313196405,0.0021754971240578,1.584962500721156,1
S0054,3,3,0.0039386326971209,0.0034926558147368,2.321928094887362,3
S0055,1,0,0.0040870989955143,0.0070031734842843,2.584962500721156,1
S0056,1,1,0.0024300628268171,0.0022981063980438,1.584962500721156,1
S0057,4,3,0.0055150042966754,0.0024245858942647,2.9219280948873627,4
S0058,1,2,0.0052028072745014,0.0043308963809507,3.0,1
S0059,4,4,0.0030664553676358,0.003601344023251,2.0,4
S0060,0,2,0.0042610371949061,0.0020669871694815,2.807354922057605,2
S0061,1,1,0.0028223162968413,0.0030534778782637,1.9219280948873625,1
S0062,3,3,0.0069653014557332,0.0022079826180978,3.2516291673878235,3
S0063,0,3,0.0050590856182101,0.0040170866453301,2.807354922057605,2
S0064,4,4,0.0032954222333505,0.0024980987338617,2.251629167387823,4
S0065,3,3,0.0031705479667431,0.0020209436752903,2.0,3
S0066,0,2,0.0027777634284595,0.0015828933023206,2.0,2
S0067,1,1,0.005920733876654,0.0042008764649758,3.1699250014423126,1
S0068,4,0,0.0050528694717784,0.005454794364617,2.807354922057605,4
S0069,0,2,0.0056327064061822,0.0022761699841866,3.0,2
S0070,1,1,0.0030026231606933,0.0019130346784036,1.9219280948873625,1
S0071,3,3,0.0043416875448868,0.0028336201593864,2.584962500721156,3
S0072,2,0,0.0034793130744275,0.00073313492082,2.251629167387823,0
S0073,3,3,0.0029558357727214,0.0029622112951205,2.0,3
S0074,3,3,0.0055165721587278,0.0025821147620744,2.913977073182752,3
S0075,2,0,0.0041234527907258,0.0018085126691145,2.521640636343319,0
S0076,4,4,0.0024101989753053,0.0022551243260575,1.5,4
S0077,2,4,0.0069377344139039,0.0022846326151472,3.4594316186372978,0
S0078,4,4,0.0025476002430535,0.0009855578489886,2.0,4
S0079,2,0,0.0036295448242731,0.0023885942183477,2.321928094887362,0
S0080,3,3,0.0056023345642454,0.0043268667232519,2.9219280948873627,3
S0081,2,0,0.0039766547870282,0.004130349586005,2.584962500721156,0
S0082,0,2,0.0023341783389223,0.0023652683637197,1.584962500721156,2
S0083,1,1,0.0024032253032984,0.0020629748770656,1.584962500721156,1
S0084,0,2,0.0048230601943129,0.0034760247094346,2.807354922057605,2
S0085,3,3,0.0026111799204476,0.0020148482264335,1.5,3
S0086,0,0,0.0059569895359052,0.0039075144128026,3.1699250014423126,2
