studentId,louvainCommunity,spectralCommunity,pageRank,betweenness,shannonEntropy,persistentLouvainId
S0001,0,0,0.0021183455064661,0.0021298735757607,1.5,1
S0002,0,4,0.0027011932301414,0.0035895890299979,1.9219280948873625,1
S0003,1,4,0.0040245466751111,0.0021241020531899,2.521640636343319,2
S0004,1,4,0.0039784621801772,0.002163093504852,2.584962500721156,2
S0005,2,0,0.0041452196095405,0.0019018808985195,2.521640636343319,3
S0006,1,4,0.0034602088455397,0.0013516772338576,2.251629167387823,2
S0007,2,0,0.0012318281572063,0.0008199381980283,0.0,3
S0008,4,0,0.0043074273019093,0.0020387507630618,2.807354922057605,4
S0009,0,1,0.00227139139738,0.0027769302123386,1.584962500721156,1
S0010,1,4,0.003745455273505,0.0021364519668394,2.2516291673878226,2
S0011,4,3,0.0030991305109053,0.0022916863494837,1.9219280948873625,4
S0012,3,2,0.0010651754199837,0.0003777224744509,0.0,0
S0013,3,2,0.0044005580499279,0.0019815986861942,2.9477027792200907,0
S0014,0,1,0.0022816002045537,0.0018859437833359,1.584962500721156,1
S0015,2,3,0.0060836546728508,0.0029976586648999,3.277613436819116,3
S0016,4,3,0.0016131267205278,0.0015377996668572,1.0,4
S0017,1,4,0.0029800241135107,0.0007643597238411,1.9219280948873625,2
S0018,1,4,0.0034891753080178,0.0020607144890985,2.251629167387823,2
S0019,2,0,0.0011021702621805,0.0005023964848798,0.0,3
S0020,3,2,0.0025881519279883,0.0015922798996849,2.0,0
S0021,0,4,0.0053041476314188,0.0044328273747768,3.0,1
S0022,3,2,0.0057675379053977,0.0032921713059592,3.2516291673878235,0
S0023,2,0,0.0053224520231243,0.0026227777710628,3.121928094887363,3
S0024,0,1,0.0033420633726445,0.0035499928835562,2.321928094887362,1
S0025,4,3,0.006207247451468,0.0026070543410602,3.321928094887362,4
S0026,0,1,0.0048691712571468,0.0037022679305474,2.9477027792200907,1
S0027,4,3,0.0048238828156555,0.0018272972157064,2.7254805569978684,4
